,pokedex_number,generation,is_sub_legendary,is_legendary,is_mythical,type_number,height_m,weight_kg,abilities_number,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,egg_type_number,percentage_male,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
34,26,1,0,0,0,1,0.8,30.0,2,485.0,60.0,90.0,55.0,90.0,80.0,110.0,75.0,70.0,218.0,2,50.0,10.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
35,26,1,0,0,0,2,0.7,21.0,1,485.0,60.0,85.0,50.0,95.0,85.0,110.0,75.0,70.0,218.0,2,50.0,10.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
36,27,1,0,0,0,1,0.6,12.0,2,300.0,50.0,75.0,85.0,20.0,30.0,40.0,255.0,70.0,60.0,1,50.0,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
37,27,1,0,0,0,2,0.7,40.0,2,300.0,50.0,75.0,90.0,10.0,35.0,40.0,255.0,70.0,60.0,1,50.0,20.0,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5
38,28,1,0,0,0,1,1.0,29.5,2,450.0,75.0,100.0,110.0,45.0,55.0,65.0,90.0,70.0,158.0,1,50.0,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
39,28,1,0,0,0,2,1.2,55.0,2,450.0,75.0,100.0,120.0,25.0,65.0,65.0,90.0,70.0,158.0,1,50.0,20.0,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5
40,29,1,0,0,0,1,0.4,7.0,3,275.0,55.0,47.0,52.0,40.0,40.0,41.0,235.0,70.0,55.0,2,0.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
41,30,1,0,0,0,1,0.8,20.0,3,365.0,70.0,62.0,67.0,55.0,55.0,56.0,120.0,70.0,128.0,1,0.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
42,31,1,0,0,0,2,1.3,60.0,3,505.0,90.0,92.0,87.0,75.0,85.0,76.0,45.0,70.0,227.0,1,0.0,20.0,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
43,32,1,0,0,0,1,0.5,9.0,3,273.0,46.0,57.0,40.0,40.0,40.0,50.0,235.0,70.0,55.0,2,100.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
44,33,1,0,0,0,1,0.9,19.5,3,365.0,61.0,72.0,57.0,55.0,55.0,65.0,120.0,70.0,128.0,2,100.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
45,34,1,0,0,0,2,1.4,62.0,3,505.0,81.0,102.0,77.0,85.0,75.0,85.0,45.0,70.0,227.0,2,100.0,20.0,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
46,35,1,0,0,0,1,0.6,7.5,3,323.0,70.0,45.0,48.0,60.0,65.0,35.0,150.0,140.0,113.0,1,25.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
47,36,1,0,0,0,1,1.3,40.0,3,483.0,95.0,70.0,73.0,95.0,90.0,60.0,25.0,140.0,217.0,1,25.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
48,37,1,0,0,0,1,0.6,9.9,2,299.0,38.0,41.0,40.0,50.0,65.0,65.0,190.0,70.0,60.0,1,25.0,20.0,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
49,37,1,0,0,0,1,0.6,9.9,2,299.0,38.0,41.0,40.0,50.0,65.0,65.0,190.0,70.0,60.0,1,25.0,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
50,38,1,0,0,0,1,1.1,19.9,2,505.0,73.0,76.0,75.0,81.0,100.0,100.0,75.0,70.0,177.0,1,25.0,20.0,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
51,38,1,0,0,0,2,1.1,19.9,2,505.0,73.0,67.0,75.0,81.0,100.0,109.0,75.0,70.0,177.0,1,25.0,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
52,39,1,0,0,0,2,0.5,5.5,3,270.0,115.0,45.0,20.0,45.0,25.0,20.0,170.0,70.0,95.0,1,25.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
53,40,1,0,0,0,2,1.0,12.0,3,435.0,140.0,70.0,45.0,85.0,50.0,45.0,50.0,70.0,196.0,1,25.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
54,41,1,0,0,0,2,0.8,7.5,2,245.0,40.0,45.0,35.0,30.0,40.0,55.0,255.0,70.0,49.0,1,50.0,15.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
55,42,1,0,0,0,2,1.6,55.0,2,455.0,75.0,80.0,70.0,65.0,75.0,90.0,90.0,70.0,159.0,1,50.0,15.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
56,43,1,0,0,0,2,0.5,5.4,2,320.0,45.0,50.0,55.0,75.0,65.0,30.0,255.0,70.0,64.0,1,50.0,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
57,44,1,0,0,0,2,0.8,8.6,2,395.0,60.0,65.0,70.0,85.0,75.0,40.0,120.0,70.0,138.0,1,50.0,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
58,45,1,0,0,0,2,1.2,18.6,2,490.0,75.0,80.0,85.0,110.0,90.0,50.0,45.0,70.0,221.0,1,50.0,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
59,46,1,0,0,0,2,0.3,5.4,3,285.0,35.0,70.0,55.0,45.0,55.0,25.0,190.0,70.0,57.0,2,50.0,20.0,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
60,47,1,0,0,0,2,1.0,29.5,3,405.0,60.0,95.0,80.0,60.0,80.0,30.0,75.0,70.0,142.0,2,50.0,20.0,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
61,48,1,0,0,0,2,1.0,30.0,3,305.0,60.0,55.0,50.0,40.0,55.0,45.0,190.0,70.0,61.0,1,50.0,20.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
62,49,1,0,0,0,2,1.5,12.5,3,450.0,70.0,65.0,60.0,90.0,75.0,90.0,75.0,70.0,158.0,1,50.0,20.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
63,50,1,0,0,0,1,0.2,0.8,3,265.0,10.0,55.0,25.0,35.0,45.0,95.0,255.0,70.0,53.0,1,50.0,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
64,50,1,0,0,0,2,0.2,1.0,3,265.0,10.0,55.0,30.0,35.0,45.0,90.0,255.0,70.0,53.0,1,50.0,20.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
65,51,1,0,0,0,1,0.7,33.3,3,425.0,35.0,100.0,50.0,50.0,70.0,120.0,50.0,70.0,149.0,1,50.0,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
66,51,1,0,0,0,2,0.7,66.6,3,425.0,35.0,100.0,60.0,50.0,70.0,110.0,50.0,70.0,149.0,1,50.0,20.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
67,52,1,0,0,0,1,0.4,4.2,3,290.0,40.0,45.0,35.0,40.0,40.0,90.0,255.0,70.0,58.0,1,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
68,52,1,0,0,0,1,0.4,4.2,3,290.0,40.0,35.0,35.0,50.0,40.0,90.0,255.0,70.0,58.0,1,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
69,52,1,0,0,0,1,0.4,7.5,3,290.0,50.0,65.0,55.0,40.0,40.0,40.0,,,,1,,20.0,0.5,2.0,1.0,1.0,0.5,0.5,2.0,0.0,2.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5
70,53,1,0,0,0,1,1.0,32.0,3,440.0,65.0,70.0,60.0,65.0,65.0,115.0,90.0,70.0,154.0,1,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
71,53,1,0,0,0,1,1.1,33.0,3,440.0,65.0,60.0,60.0,75.0,65.0,115.0,90.0,70.0,154.0,1,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
72,54,1,0,0,0,1,0.8,19.6,3,320.0,50.0,52.0,48.0,65.0,50.0,55.0,190.0,70.0,64.0,2,50.0,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
73,55,1,0,0,0,1,1.7,76.6,3,500.0,80.0,82.0,78.0,95.0,80.0,85.0,75.0,70.0,175.0,2,50.0,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
74,56,1,0,0,0,1,0.5,28.0,3,305.0,40.0,80.0,35.0,35.0,45.0,70.0,190.0,70.0,61.0,1,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
75,57,1,0,0,0,1,1.0,32.0,3,455.0,65.0,105.0,60.0,60.0,70.0,95.0,75.0,70.0,159.0,1,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
76,58,1,0,0,0,1,0.7,19.0,3,350.0,55.0,70.0,45.0,70.0,50.0,60.0,190.0,70.0,70.0,1,75.0,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
77,59,1,0,0,0,1,1.9,155.0,3,555.0,90.0,110.0,80.0,100.0,80.0,95.0,75.0,70.0,194.0,1,75.0,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
78,60,1,0,0,0,1,0.6,12.4,3,300.0,40.0,50.0,40.0,40.0,40.0,90.0,255.0,70.0,60.0,1,50.0,20.0,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
79,61,1,0,0,0,1,1.0,20.0,3,385.0,65.0,65.0,65.0,50.0,50.0,90.0,120.0,70.0,135.0,1,50.0,20.0,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
80,62,1,0,0,0,2,1.3,54.0,3,510.0,90.0,95.0,95.0,70.0,90.0,70.0,45.0,70.0,230.0,1,50.0,20.0,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,0.5,2.0
81,63,1,0,0,0,1,0.9,19.5,3,310.0,25.0,20.0,15.0,105.0,55.0,90.0,200.0,70.0,62.0,1,75.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
82,64,1,0,0,0,1,1.3,56.5,3,400.0,40.0,35.0,30.0,120.0,70.0,105.0,100.0,70.0,140.0,1,75.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
83,65,1,0,0,0,1,1.5,48.0,3,500.0,55.0,50.0,45.0,135.0,95.0,120.0,50.0,70.0,225.0,1,75.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
84,65,1,0,0,0,1,1.2,48.0,1,600.0,55.0,50.0,65.0,175.0,105.0,150.0,50.0,70.0,270.0,1,75.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
85,66,1,0,0,0,1,0.8,19.5,3,305.0,70.0,80.0,50.0,35.0,35.0,35.0,180.0,70.0,61.0,1,75.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
86,67,1,0,0,0,1,1.5,70.5,3,405.0,80.0,100.0,70.0,50.0,60.0,45.0,90.0,70.0,142.0,1,75.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
87,68,1,0,0,0,1,1.6,130.0,3,505.0,90.0,130.0,80.0,65.0,85.0,55.0,45.0,70.0,227.0,1,75.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
88,69,1,0,0,0,2,0.7,4.0,2,300.0,50.0,75.0,35.0,70.0,30.0,40.0,255.0,70.0,60.0,1,50.0,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
89,70,1,0,0,0,2,1.0,6.4,2,390.0,65.0,90.0,50.0,85.0,45.0,55.0,120.0,70.0,137.0,1,50.0,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
90,71,1,0,0,0,2,1.7,15.5,2,490.0,80.0,105.0,65.0,100.0,70.0,70.0,45.0,70.0,221.0,1,50.0,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
91,72,1,0,0,0,2,0.9,45.5,3,335.0,40.0,40.0,35.0,50.0,100.0,70.0,190.0,70.0,67.0,1,50.0,20.0,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
92,73,1,0,0,0,2,1.6,55.0,3,515.0,80.0,70.0,65.0,80.0,120.0,100.0,60.0,70.0,180.0,1,50.0,20.0,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
